ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
1249,lekki,.. lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4000000
1250,lekki,lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1251,lekki,chevron lekki lagos,2,1,1,1,1,1,1,1,4,1500000
1252,lekki,chevron lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1253,lekki,richmond gate estate ikate lekki lagos,9,5,4,5,1,0,1,1,9,4500000
1254,lekki,admiralty way lekki phase 1 lekki lagos,3,2,1,2,0,0,0,1,6,1500000
1255,lekki,lekki phase 1 lekki lagos,11,6,5,6,0,0,0,1,10,6000000
1256,lekki,off palace road ikate lekki lagos,6,3,3,3,0,0,0,1,7,2000000
1257,lekki,lekki phase one lekki phase 1 lekki lagos,3,2,1,2,0,0,0,1,6,1500000
1258,lekki,idado idado lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1259,lekki,osapa osapa london lekki lagos,5,3,2,3,0,0,0,1,7,2300000
1260,lekki," ologolo, ologolo lekki lagos",7,4,3,4,0,0,0,0,7,2000000
1261,lekki,lekki phase 1 lekki lagos,11,6,5,6,0,0,0,1,10,6000000
1262,lekki,ikota estate ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1263,lekki,.. ikota lekki lagos,10,5,5,5,0,0,0,1,9,3500000
1264,lekki," golf, lakowe ibeju lekki lagos",5,3,2,3,0,0,0,0,7,1000000
1265,lekki,spring bay estate ikate lekki lagos,7,4,3,4,1,1,1,1,7,3500000
1266,lekki,off admiralty way lekki phase 1 lekki lagos,11,6,5,6,1,1,0,1,10,6200000
1267,lekki,off adebayo dorothy lekki phase 1 lekki lagos,5,3,2,3,1,1,0,1,7,2500000
1268,lekki,off admiralty road lekki phase 1 lekki lagos,9,5,4,5,1,1,1,1,9,5600000
1269,lekki,off admiralty way lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,3600000
1270,lekki,. lekki phase 1 lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1271,lekki,- lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4300000
1272,lekki,freedom way lekki phase 1 lekki lagos,5,3,2,3,0,0,0,0,7,1600000
1273,lekki,behind tantalizer lekki phase 1 lekki lagos,9,5,4,5,1,1,1,1,9,5600000
1274,lekki,ikota ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1275,lekki,agungi agungi lekki lagos,4,2,2,2,1,0,0,1,6,1800000
1276,lekki,eletu osapa london lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1277,lekki,bridge gate estate agungi lekki lagos,2,1,1,1,0,0,0,1,4,850000
1278,lekki,chevron lekki lagos,8,4,4,4,1,0,0,1,7,3000000
1279,lekki,chevron alternative chevron lekki lagos,10,5,5,5,1,0,0,1,9,4000000
1280,lekki,oral estate lekki lagos,8,4,4,4,1,0,0,1,7,3000000
